species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,39.1,18.7,181,3452.5,male
Adelie,39.5,17.4,186,3494.444444,female
Adelie,40.3,18,195,3063.611111,female
Adelie,36.7,0,193,3212.5,female
Adelie,39.3,20.6,190,3370.277778,male
Adelie,38.9,17.8,181,3350.069444,female
Adelie,39.2,19.6,195,4318.402778,male
Adelie,41.1,17.6,182,3027.777778,female
Adelie,38.6,21.2,191,3494.444444,male
Adelie,34.6,0,198,4041.111111,male
Adelie,36.6,17.8,185,3411.111111,female
Adelie,38.7,19,195,3212.5,female
Adelie,42.5,20.7,197,4140,male
Adelie,34.4,0,184,3118.402778,female
Adelie,46,21.5,194,3850,male
Adelie,37.8,18.3,174,3174.444444,female
Adelie,37.7,18.7,180,3330,male
Adelie,35.9,19.2,189,3494.444444,female
Adelie,38.2,18.1,185,3623.611111,male
Adelie,38.8,17.2,180,3494.444444,male
Adelie,35.3,18.9,187,3494.444444,female
Adelie,40.6,18.6,183,3290.277778,male
Adelie,40.5,17.9,187,3027.777778,female
Adelie,37.9,18.6,172,2992.5,female
Adelie,40.5,18.9,180,3623.611111,male
Adelie,39.5,16.7,178,3063.611111,female
Adelie,37.2,18.1,178,3580,male
Adelie,39.5,17.8,188,3100,female
Adelie,40.9,18.9,184,3580,male
Adelie,36.4,17,195,3118.402778,female
Adelie,39.2,21.1,196,3803.611111,male
Adelie,38.8,20,190,3623.611111,male
Adelie,42.2,18.5,180,3290.277778,female
Adelie,37.6,19.3,181,3100,female
Adelie,39.8,19.1,184,4292.5,male
Adelie,36.5,18,182,2992.5,female
Adelie,40.8,18.4,195,3580,male
Adelie,36,18.5,186,2957.777778,female
Adelie,44.1,19.7,196,4041.111111,male
Adelie,37,16.9,185,2890,female
Adelie,39.6,18.8,190,4241.111111,male
Adelie,41.1,19,182,3193.402778,male
Adelie,36,17.9,190,3212.5,female
Adelie,42.3,21.2,191,3803.611111,male
Adelie,39.6,17.7,186,3251.111111,female
Adelie,40.1,18.9,188,3944.444444,male
Adelie,35,17.9,190,3212.5,female
Adelie,42,0,200,3712.5,male
Adelie,34.5,18.1,187,2824.444444,female
Adelie,41.4,18.6,191,3411.111111,male
Adelie,39,17.5,186,3290.277778,female
Adelie,40.6,18.8,193,3494.444444,male
Adelie,36.5,16.6,181,2792.5,female
Adelie,37.6,19.1,194,3452.5,male
Adelie,35.7,16.9,185,2992.5,female
Adelie,41.3,21.1,195,4041.111111,male
Adelie,37.6,17,185,3330,female
Adelie,41.1,18.2,192,3712.5,male
Adelie,36.4,17.1,184,2792.5,female
Adelie,41.6,18,192,3623.611111,male
Adelie,35.5,16.2,195,3136.944444,female
Adelie,41.1,19.1,188,3757.777778,male
Adelie,35.9,16.6,190,2923.611111,female
Adelie,41.8,19.4,198,4090.277778,male
Adelie,33.5,33.5,190,3330,female
Adelie,39.7,39.7,190,3580,male
Adelie,39.6,17.2,196,3290.277778,female
Adelie,45.8,18.9,197,3803.611111,male
Adelie,35.5,17.5,190,3411.111111,female
Adelie,42.8,18.5,195,3896.944444,male
Adelie,40.9,16.8,191,3411.111111,female
Adelie,37.2,19.4,184,3580,male
Adelie,36.2,0,187,3290.277778,female
Adelie,42.1,19.1,195,3667.777778,male
Adelie,34.6,17.2,189,3027.777778,female
Adelie,42.9,17.6,196,4344.444444,male
Adelie,36.7,18.8,187,3494.444444,female
Adelie,35.1,19.4,193,3850,male
Adelie,37.3,17.8,191,3136.944444,female
Adelie,41.3,20.3,194,3290.277778,male
Adelie,36.3,19.5,190,3494.444444,male
Adelie,36.9,18.6,189,3251.111111,female
Adelie,38.3,19.2,189,3623.611111,male
Adelie,38.9,18.8,190,3330,female
Adelie,35.7,18,202,3290.277778,female
Adelie,41.1,18.1,205,3944.444444,male
Adelie,34,17.1,185,3174.444444,female
Adelie,39.6,18.1,186,4090.277778,male
Adelie,36.2,17.3,187,3100,female
Adelie,40.8,18.9,208,3944.444444,male
Adelie,38.1,18.6,190,3411.111111,female
Adelie,40.3,18.5,196,3992.5,male
Adelie,33.1,16.1,178,2824.444444,female
Adelie,43.2,18.5,192,3757.777778,male
Adelie,35,17.9,192,3431.736111,female
Adelie,41,20,203,4370.625,male
Adelie,37.7,16,183,2940.625,female
Adelie,37.8,20,190,3896.944444,male
Adelie,37.9,18.6,193,2840.625,female
Adelie,39.7,18.9,184,3290.277778,male
Adelie,38.6,17.2,199,3452.5,female
Adelie,38.2,20,190,3580,male
Adelie,38.1,17,181,3010.069444,female
Adelie,43.2,19,197,4423.402778,male
Adelie,38.1,16.5,198,3515.625,female
Adelie,45.6,0,191,4241.111111,male
Adelie,39.7,17.7,193,3027.777778,female
Adelie,42.2,19.5,197,3920.625,male
Adelie,39.6,20.7,191,3580,female
Adelie,42.7,18.3,196,3735.069444,male
Adelie,38.6,17,188,2824.444444,female
Adelie,37.3,20.5,199,3473.402778,male
Adelie,35.7,17,189,3136.944444,female
Adelie,41.1,18.6,189,3118.402778,male
Adelie,36.2,17.2,187,2992.5,female
Adelie,37.7,19.8,198,3251.111111,male
Adelie,40.2,17,176,3212.5,female
Adelie,41.4,18.5,202,3558.402778,male
Adelie,35.2,15.9,186,2923.611111,female
Adelie,40.6,0,199,3667.777778,male
Adelie,38.8,17.6,191,3081.736111,female
Adelie,41.5,18.3,195,3944.444444,male
Adelie,39,17.1,191,2923.611111,female
Adelie,44.1,18,210,3667.777778,male
Adelie,38.5,17.9,190,3118.402778,female
Adelie,43.1,19.2,197,3251.111111,male
Adelie,36.8,18.5,193,3251.111111,female
Adelie,37.5,18.5,199,4115.069444,male
Adelie,38.1,17.6,187,3193.402778,female
Adelie,41.1,17.5,190,3580,male
Adelie,35.6,17.5,191,3010.069444,female
Adelie,40.2,20.1,200,3645.625,male
Adelie,37,16.5,185,3174.444444,female
Adelie,39.7,17.9,193,3896.944444,male
Adelie,40.2,17.1,193,3174.444444,female
Adelie,40.6,17.2,187,3231.736111,male
Adelie,32.1,15.5,188,2923.611111,female
Adelie,40.7,17,190,3431.736111,male
Adelie,37.3,16.8,192,2890,female
Adelie,39,18.7,185,3370.277778,male
Adelie,39.2,18.6,190,3896.944444,male
Adelie,36.6,18.4,184,3231.736111,female
Adelie,36,17.8,195,3212.5,female
Adelie,37.8,18.1,193,3452.5,male
Adelie,36,17.1,187,3411.111111,female
Adelie,41.5,18.5,201,3667.777778,male
Gentoo,46.1,13.2,211,4140,female
Gentoo,50,16.3,230,5500,male
Gentoo,48.7,14.1,210,4090.277778,female
Gentoo,50,15.2,218,5500,male
Gentoo,47.6,14.5,215,5130,male
Gentoo,46.5,13.5,210,4190.277778,female
Gentoo,45.4,14.6,211,4450,female
Gentoo,46.7,15.3,219,4894.444444,male
Gentoo,43.3,13.4,209,4041.111111,female
Gentoo,46.8,15.4,215,4836.944444,male
Gentoo,40.9,13.7,214,4292.5,female
Gentoo,49,16.1,216,5312.5,male
Gentoo,45.5,13.7,214,4292.5,female
Gentoo,48.4,14.6,213,5692.5,male
Gentoo,45.8,14.6,210,3850,female
Gentoo,49.3,15.7,217,5692.5,male
Gentoo,42,13.5,210,3803.611111,female
Gentoo,49.2,15.2,221,6300,male
Gentoo,46.2,14.5,209,4450,female
Gentoo,48.7,15.1,222,5070.277778,male
Gentoo,50.2,14.3,218,5500,male
Gentoo,45.1,14.5,215,4667.777778,female
Gentoo,46.5,14.5,213,4041.111111,female
Gentoo,46.3,15.8,215,4723.611111,male
Gentoo,42.9,13.1,215,4667.777778,female
Gentoo,46.1,15.1,215,4780,male
Gentoo,47.8,15,215,5436.944444,male
Gentoo,48.2,14.3,210,4241.111111,female
Gentoo,50,15.3,220,5312.5,male
Gentoo,47.3,15.3,222,4952.5,male
Gentoo,42.8,14.2,209,4344.444444,female
Gentoo,45.1,14.5,207,4723.611111,female
Gentoo,59.6,17,230,5956.944444,male
Gentoo,49.1,14.8,220,4836.944444,female
Gentoo,48.4,16.3,220,5130,male
Gentoo,42.6,13.7,213,4612.5,female
Gentoo,44.4,17.3,219,4952.5,male
Gentoo,44,13.6,208,3992.5,female
Gentoo,48.7,15.7,208,5070.277778,male
Gentoo,42.7,13.7,208,3623.611111,female
Gentoo,49.6,16,225,5500,male
Gentoo,45.3,13.7,210,3944.444444,female
Gentoo,49.6,15,216,4396.944444,male
Gentoo,50.5,15.9,222,5312.5,male
Gentoo,43.6,13.9,217,4557.777778,female
Gentoo,45.5,13.9,210,3850,female
Gentoo,50.5,15.9,225,5130,male
Gentoo,44.9,13.3,213,4780,female
Gentoo,45.2,15.8,215,5011.111111,male
Gentoo,46.6,14.2,210,4503.611111,female
Gentoo,48.5,14.1,220,5011.111111,male
Gentoo,45.1,14.4,210,4041.111111,female
Gentoo,50.1,15,225,4667.777778,male
Gentoo,46.5,14.4,217,4557.777778,female
Gentoo,45,15.4,220,4723.611111,male
Gentoo,43.8,13.9,208,3944.444444,female
Gentoo,45.5,15,220,4667.777778,male
Gentoo,43.2,14.5,208,4090.277778,female
Gentoo,50.4,15.3,224,5312.5,male
Gentoo,45.3,13.8,208,3850,female
Gentoo,46.2,14.9,221,5011.111111,male
Gentoo,45.7,13.9,214,4041.111111,female
Gentoo,54.3,15.7,231,5436.944444,male
Gentoo,45.8,14.2,219,4344.444444,female
Gentoo,49.8,16.8,230,5500,male
Gentoo,49.5,16.2,229,5627.777778,male
Gentoo,43.5,14.2,220,4344.444444,female
Gentoo,50.7,15,223,5312.5,male
Gentoo,47.7,15,216,4396.944444,female
Gentoo,46.4,15.6,221,4667.777778,male
Gentoo,48.2,15.6,221,4780,male
Gentoo,46.5,14.8,217,4894.444444,female
Gentoo,46.4,15,216,4344.444444,female
Gentoo,48.6,16,230,5627.777778,male
Gentoo,47.5,14.2,209,4241.111111,female
Gentoo,51.1,16.3,220,5890,male
Gentoo,45.2,13.8,215,4396.944444,female
Gentoo,45.2,16.4,223,5823.611111,male
Gentoo,49.1,14.5,212,4266.736111,female
Gentoo,52.5,15.6,221,5190.277778,male
Gentoo,47.4,14.6,212,4370.625,female
Gentoo,50,15.9,224,5070.277778,male
Gentoo,44.9,13.8,212,4396.944444,female
Gentoo,50.8,17.3,228,5374.444444,male
Gentoo,43.4,14.4,218,4241.111111,female
Gentoo,51.3,14.2,218,5011.111111,male
Gentoo,47.5,14,212,4530.625,female
Gentoo,52.1,17,230,5312.5,male
Gentoo,47.5,15,218,4612.5,female
Gentoo,52.2,17.1,228,5130,male
Gentoo,45.5,14.5,212,4396.944444,female
Gentoo,49.5,16.1,224,5436.944444,male
Gentoo,44.5,14.7,214,4503.611111,female
Gentoo,50.8,15.7,226,4894.444444,male
Gentoo,49.4,15.8,216,4585.069444,male
Gentoo,46.9,14.6,222,4530.625,female
Gentoo,48.4,14.4,203,4266.736111,female
Gentoo,51.1,16.5,225,4952.5,male
Gentoo,48.5,15,219,4503.611111,female
Gentoo,55.9,17,228,5374.444444,male
Gentoo,47.2,15.5,215,4640.069444,female
Gentoo,49.1,15,228,5251.111111,male
Gentoo,46.8,16.1,215,5251.111111,male
Gentoo,41.7,14.7,210,4344.444444,female
Gentoo,53.4,15.8,219,5251.111111,male
Gentoo,43.3,14,208,4215.625,female
Gentoo,48.1,15.1,209,5251.111111,male
Gentoo,50.5,15.2,216,4667.777778,female
Gentoo,49.8,15.9,229,5823.611111,male
Gentoo,43.5,15.2,213,4292.5,female
Gentoo,51.5,16.3,230,5251.111111,male
Gentoo,46.2,14.1,217,4016.736111,female
Gentoo,55.1,16,230,5692.5,male
Gentoo,48.8,16.2,222,5890,male
Gentoo,47.2,13.7,214,4585.069444,female
Gentoo,46.8,14.3,215,4503.611111,female
Gentoo,50.4,15.7,222,5563.611111,male
Gentoo,45.2,14.8,212,4894.444444,female
Gentoo,49.9,16.1,213,5130,male
Chinstrap,46.5,17.9,192,3251.111111,female
Chinstrap,50,19.5,196,3580,male
Chinstrap,51.3,19.2,193,3370.277778,male
Chinstrap,45.4,18.7,188,3270.625,female
Chinstrap,52.7,19.8,197,3431.736111,male
Chinstrap,45.2,17.8,198,3623.611111,female
Chinstrap,46.1,18.2,178,3063.611111,female
Chinstrap,51.3,18.2,197,3452.5,male
Chinstrap,46,18.9,195,3803.611111,female
Chinstrap,51.3,19.9,198,3411.111111,male
Chinstrap,46.6,17.8,193,3494.444444,female
Chinstrap,51.7,20.3,194,3473.402778,male
Chinstrap,47,17.3,185,3411.111111,female
Chinstrap,52,18.1,201,3712.5,male
Chinstrap,45.9,17.1,190,3310.069444,female
Chinstrap,50.5,19.6,201,3712.5,male
Chinstrap,50.3,20,197,3100,male
Chinstrap,58,17.8,181,3411.111111,female
Chinstrap,46.4,18.6,190,3212.5,female
Chinstrap,49.2,18.2,195,4041.111111,male
Chinstrap,42.4,17.3,181,3330,female
Chinstrap,48.5,17.5,191,3174.444444,male
Chinstrap,43.2,16.6,187,2824.444444,female
Chinstrap,50.6,19.4,193,3494.444444,male
Chinstrap,46.7,17.9,195,3100,female
Chinstrap,52,19,197,3803.611111,male
Chinstrap,50.5,18.4,200,3174.444444,female
Chinstrap,49.5,19,200,3494.444444,male
Chinstrap,46.4,17.8,191,3411.111111,female
Chinstrap,52.8,20,205,4190.277778,male
Chinstrap,40.9,16.6,187,3027.777778,female
Chinstrap,54.2,20.8,201,3944.444444,male
Chinstrap,42.5,16.7,187,3136.944444,female
Chinstrap,51,18.8,203,3757.777778,male
Chinstrap,49.7,18.6,195,3330,male
Chinstrap,47.5,16.8,199,3580,female
Chinstrap,47.6,18.3,195,3536.944444,female
Chinstrap,52,20.7,210,4450,male
Chinstrap,46.9,16.6,192,2700,female
Chinstrap,53.5,19.9,205,4140,male
Chinstrap,49,19.5,210,3623.611111,male
Chinstrap,46.2,17.5,187,3370.277778,female
Chinstrap,50.9,19.1,196,3290.277778,male
Chinstrap,45.5,17,196,3251.111111,female
Chinstrap,50.9,17.9,196,3390.625,female
Chinstrap,50.8,18.5,201,4090.277778,male
Chinstrap,50.1,17.9,190,3174.444444,female
Chinstrap,49,19.6,212,3944.444444,male
Chinstrap,51.5,18.7,187,3063.611111,male
Chinstrap,49.8,17.3,198,3390.625,female
Chinstrap,48.1,16.4,199,3118.402778,female
Chinstrap,51.4,19,201,3623.611111,male
Chinstrap,45.7,17.3,193,3330,female
Chinstrap,50.7,19.7,203,3712.5,male
Chinstrap,42.5,17.3,187,3136.944444,female
Chinstrap,52.2,18.8,197,3212.5,male
Chinstrap,45.2,16.6,191,3063.611111,female
Chinstrap,49.3,19.9,203,3712.5,male
Chinstrap,50.2,18.8,202,3494.444444,male
Chinstrap,45.6,19.4,194,3270.625,female
Chinstrap,51.9,19.5,206,3623.611111,male
Chinstrap,46.8,16.5,189,3370.277778,female
Chinstrap,45.7,17,195,3370.277778,female
Chinstrap,55.8,19.8,207,3667.777778,male
Chinstrap,43.5,18.1,202,3174.444444,female
Chinstrap,49.6,18.2,193,3473.402778,male
Chinstrap,50.8,19,210,3757.777778,male
Chinstrap,50.2,18.7,198,3473.402778,female
